Freguesia,Year,Month,mean
Santo António,2022,2,138.17867643236326
Arroios,2022,2,110.29943917444508
Santa Maria Maior,2022,2,101.90489438122138
Campo de Ourique,2022,2,101.50366211695888
Alcântara,2022,2,60.00999281024611
Ajuda,2022,2,92.89004302817567
Belém,2022,2,61.40909551207982
São Domingos de Benfica,2022,2,107.89482328822167
Campolide,2022,2,106.67778134447848
Carnide,2022,2,104.8979269148299
São Vicente,2022,2,85.2309922589987
Estrela,2022,2,83.27797319275989
Lumiar,2022,3,97.56869334820004
Avenidas Novas,2022,3,124.79050264900071
Areeiro,2022,3,127.58233841822697
Beato,2022,3,65.83919994884769
Benfica,2022,3,63.49317218140355
Misericórdia,2022,3,77.73804686751706
Parque das Nações,2022,3,86.78522065587192
Olivais,2022,3,105.8289713101227
Marvila,2022,3,85.08564219605567
Santa Clara,2022,3,76.05754488865658
