date,Year,Month,parish,price_m2,imputed_flag
2021-11-01,2021,11,Campo de Ourique,14.2,0
2021-11-01,2021,11,Campolide,13.4,0
2021-11-01,2021,11,Estrela,14.8,0
2021-11-01,2021,11,Lumiar,11.5,0
2021-11-01,2021,11,Misericórdia,16.2,0
2021-11-01,2021,11,Parque das Nações,13.5,0
2021-11-01,2021,11,Penha de França,12.5,0
2021-11-01,2021,11,Santa Maria Maior,17.0,0
2021-11-01,2021,11,Santo António,17.5,0
2021-11-01,2021,11,São Domingos de Benfica,11.5,0
2021-11-01,2021,11,São Vicente,13.7,0
2021-12-01,2021,12,Alvalade,13.0,0
2021-12-01,2021,12,Areeiro,11.7,0
2021-12-01,2021,12,Arroios,13.0,0
2021-12-01,2021,12,Avenidas Novas,13.6,0
2021-12-01,2021,12,Belém,13.4,0
2021-12-01,2021,12,Benfica,11.7,0
2021-12-01,2021,12,Campo de Ourique,14.5,0
2021-12-01,2021,12,Campolide,13.4,0
2021-12-01,2021,12,Estrela,15.1,0
2021-12-01,2021,12,Lumiar,11.5,0
2021-12-01,2021,12,Misericórdia,16.5,0
2021-12-01,2021,12,Parque das Nações,13.2,0
2021-12-01,2021,12,Penha de França,12.6,0
2021-12-01,2021,12,Santa Maria Maior,16.8,0
2021-12-01,2021,12,Santo António,17.7,0
2021-12-01,2021,12,São Domingos de Benfica,11.7,0
2021-12-01,2021,12,São Vicente,14.3,0
2022-01-01,2022,1,Alvalade,13.0,0
2022-01-01,2022,1,Areeiro,12.0,0
2022-01-01,2022,1,Arroios,13.2,0
2022-01-01,2022,1,Avenidas Novas,13.6,0
2022-01-01,2022,1,Belém,13.3,0
2022-01-01,2022,1,Benfica,11.7,0
2022-01-01,2022,1,Campo de Ourique,14.7,0
2022-01-01,2022,1,Campolide,13.4,0
2022-01-01,2022,1,Estrela,15.2,0
2022-01-01,2022,1,Lumiar,11.6,0
2022-01-01,2022,1,Misericórdia,17.0,0
2022-01-01,2022,1,Parque das Nações,13.6,0
2022-01-01,2022,1,Penha de França,13.2,0
2022-01-01,2022,1,Santa Maria Maior,17.4,0
2022-01-01,2022,1,Santo António,17.7,0
2022-01-01,2022,1,São Domingos de Benfica,11.9,0
2022-01-01,2022,1,São Vicente,14.1,0
2022-02-01,2022,2,Alvalade,13.0,0
2022-02-01,2022,2,Areeiro,12.1,0
2022-02-01,2022,2,Arroios,14.0,0
2022-02-01,2022,2,Avenidas Novas,13.7,0
2022-02-01,2022,2,Belém,13.4,0
2022-02-01,2022,2,Benfica,11.9,0
